iddesa;nama_wilayah
1406010006;DOMO
1406010014;MUARA SELAYA
1406010015;IV KOTO SETINGKAI
1406010016;PADANG SAWAH
1406010017;KUNTU
1406010018;TELUK PAMAN
1406010019;LIPAT KAIN
1406010020;SUNGAI GERINGGING
1406010021;SUNGAI PAKU
1406010034;SUNGAI RAMBAI
1406010035;SUNGAI RAJA
1406010036;TANJUNG HARAPAN
1406010037;SUNGAI SARIK
1406010040;LIPAT KAIN UTARA
1406010041;LIPAT KAIN SELATAN
1406010042;KUNTU DARUSSALAM
1406010043;TANJUNG MAS
1406010044;SUNGAI LITI
1406010045;TELUK PAMAN TIMUR
1406010046;SUNGAI HARAPAN
1406011001;AUR KUNING
1406011002;TANJUNG BERINGIN
1406011003;BATU SANGGAN
1406011004;TANJUNG BELIT
1406011005;GEMA
1406011006;TANJUNG BELIT SELATAN
1406011007;KOTA LAMA
1406011008;LUDAI
1406011009;PANGKALAN KAPAS
1406011010;KEBUN TINGGI
1406011011;BATU SASAK
1406011012;TANJUNG KARANG
1406011013;GAJAH BERTALUT
1406011014;PANGKALAN SERAI
1406011015;DANAU SONTUL
1406011016;DERAS TAJAK
1406011017;TERUSAN
1406011018;SUNGAI SANTI
1406011019;TANJUNG PERMAI
1406011020;DUA SEPAKAT
1406011021;SUBAYANG JAYA
1406011022;BUKIT BETUNG
1406011023;LUBUK BIGAU
1406011024;MUARA BIO
1406012001;SUNGAI SIMPANG DUA
1406012002;SUNGAI PAGAR
1406012003;MENTULIK
1406012004;BANGUN SARI
1406012005;SUNGAI PETAI
1406012006;RANTAU KASIH
1406012007;SUNGAI BUNGA
1406012008;GADING PERMAI
1406013001;KEBUN DURIAN
1406013002;SUBARAK
1406013003;GUNUNG SAHILAN
1406013004;SUKA MAKMUR
1406013005;GUNUNG SARI
1406013006;MAKMUR SEJAHTERA
1406013007;SUNGAI LIPAI
1406013008;SAHILAN DARUSSALAM
1406013009;GUNUNG MULYA
1406014001;PENGHIDUPAN
1406014002;SIMALINYANG
1406014003;MAYANG PONGKAI
1406014004;LUBUK SAKAI
1406014005;BINA BARU
1406014006;HIDUP BARU
1406014007;KARYA BAKTI
1406014008;KOTO DAMAI
1406014009;UTAMA KARYA
1406014010;BUKIT SAKAI
1406014011;MEKAR JAYA
1406020001;BALUNG
1406020002;PULAU GADANG
1406020003;TANJUNG ALAI
1406020004;BATU BERSURAT
1406020005;KOTO TUO
1406020006;MUARA TAKUS
1406020007;GUNUNG BUNGSU
1406020013;KOTO MESJID
1406020014;LUBUK AGUNG
1406020015;RANAH SUNGKAI
1406020016;BINAMANG
1406020017;PONGKAI ISTIQAMAH
1406020024;KOTO TUO BARAT
1406021001;TANJUNG
1406021002;TABING
1406021003;PONGKAI
1406021004;GUNUNG MALELO
1406021005;SIBIRUANG
1406021006;BANDUR PICAK
1406030002;KUOK
1406030003;MERANGIN
1406030004;EMPAT BALAI
1406030005;PULAU JAMBU
1406030008;SILAM
1406030009;BUKIT MELINTANG
1406030010;LERENG
1406030011;PULAU TERAP
1406030012;BATU LANGKA KECIL
1406031001;SIABU
1406031002;GANTING
1406031003;SIPUNGGUK
1406031004;GANTING DAMAI
1406031005;SALO
1406031006;SALO TIMUR
1406040002;PETAPAHAN
1406040003;SEI LEMBU MAKMUR
1406040004;MUARA MAHAT BARU
1406040005;KENANTAN
1406040006;SIBUAK
1406040007;PANTAI CERMIN
1406040008;SUNGAI PUTIH
1406040009;PAGARUYUNG
1406040010;AIR TERBIT
1406040011;PANCURAN GADING
1406040012;SARI GALUH
1406040013;TRI MANUNGGAL
1406040014;MUKTI SARI
1406040015;INDRAPURI
1406040016;GADING SARI
1406040017;TANJUNG SAWIT
1406040018;SUMBER MAKMUR
1406040019;PETAPAHAN JAYA
1406040030;PELAMBAIAN
1406040031;INDRA SAKTI
1406040032;SUNGAI AGUNG
1406040033;KARYA INDAH
1406040034;KIJANG REJO
1406040035;BENCAH KELUBI
1406040036;BATU GAJAH
1406041001;KASIKAN
1406041002;RIMBA BERINGIN
1406041003;SENAMA NENEK
1406041004;BUKIT KEMUNING
1406041005;DANAU LANCANG
1406041006;SUKA RAMAI
1406041007;KUSAU MAKMUR
1406041008;SUMBER SARI
1406041014;TALANG DANTO
1406041015;MUARA INTAN
1406041016;INTAN JAYA
1406041017;TANAH DATAR
1406041018;RIMBA MAKMUR
1406041019;RIMBA JAYA
1406042001;SEKIJANG
1406042002;TEBING LESTARI
1406042003;KIJANG JAYA
1406042004;TANAH TINGGI
1406042005;TAPUNG MAKMUR
1406042006;TAPUNG LESTARI
1406042007;KOTA GARO
1406042008;SUKA MAJU
1406042009;KOTA BARU
1406042010;KOTO BANGUN
1406042011;CINTA DAMAI
1406042012;BERINGIN LESTARI
1406042013;TANDAN SARI
1406042015;KIJANG MAKMUR
1406042016;KOTO AMAN
1406042017;GERBANG SARI
1406050002;LANGGINI
1406050003;BANGKINANG
1406050013;KUMANTAN
1406050014;RIDAN PERMAI
1406051001;PULAU LAWAS
1406051002;MUARA UWAI
1406051003;PULAU
1406051004;PASIR SIALANG
1406051005;BUKIT SEMBILAN
1406051006;LABOY JAYA
1406051007;SUKA MULYA
1406051008;BUKIT PAYUNG
1406051009;BINUANG
1406060001;BATU BELAH
1406060002;TANJUNG BERULAK
1406060003;AIR TIRIS
1406060004;RANAH
1406060005;PENYASAWAN
1406060006;RUMBIO
1406060007;PADANG MUTUNG
1406060025;SIMPANG KUBU
1406060026;TANJUNG RAMBUTAN
1406060028;PULAU JAMBU
1406060029;LIMAU MANIS
1406060030;NAUMBAI
1406060031;RANAH SINGKUANG
1406060032;PULAU TINGGI
1406060033;KOTO TIBUN
1406060034;BUKIT RANAH
1406060035;RANAH BARU
1406060036;PULAU SARAK
1406061001;PULAU RAMBAI
1406061002;KAMPAR
1406061003;KOTO PERAMBAHAN
1406061004;PULAU BIRANDANG
1406061005;SUNGAI PUTIH
1406061006;DELI MAKMUR
1406061007;SUNGAI TARAP
1406061008;TANJUNG BUNGO
1406061009;SAWAH BARU
1406062001;ALAM PANJANG
1406062002;PULAU PAYUNG
1406062003;TERATAK
1406062004;BUKIT KRATAI
1406062005;BATANG BATINDIH
1406062006;TAMBUSAI
1406062007;SIMPANG PETAI
1406063001;KAMPUNG PANJANG
1406063002;SAWAH
1406063003;KAYU ARO
1406063004;MUARA JALAI
1406063005;SUNGAI TONANG
1406063006;SUNGAI JALAU
1406063007;SENDAYAN
1406063008;NAGA BERALIH
1406070001;KUAPAN
1406070002;AUR SATI
1406070003;TAMBANG
1406070004;PADANG LUAS
1406070005;GOBAH
1406070006;TERANTANG
1406070007;RIMBA PANJANG
1406070008;KUALU
1406070009;TELUK KENIDAI
1406070010;PARIT BARU
1406070011;KEMANG INDAH
1406070012;SUNGAI PINANG
1406070013;KUALU NENAS
1406070014;TARAI BANGUN
1406070015;PALUNG RAYA
1406070016;PULAU PERMAI
1406070017;BALAM JAYA
1406080004;BULUH NIPIS
1406080005;PANGKALAN BARU
1406080006;BULUH CINA
1406080007;LUBUK SIAM
1406080009;TERATAK BULUH
1406080010;DESA BARU
1406080011;TANAH MERAH
1406080012;PANDAU JAYA
1406080013;PANGKALAN SERIK
1406080014;KEPAU JAYA
1406080015;TANJUNG BALAM
1406080016;KUBANG JAYA
1406081001;PANTAI RAJA
1406081002;SIALANG KUBANG
1406081003;HANG TUAH
1406081008;KAMPUNG PINANG
1406081009;LUBUK SAKAT
1406010;KAMPAR KIRI
1406011;KAMPAR KIRI HULU
1406012;KAMPAR KIRI HILIR
1406013;GUNUNG SAHILAN
1406014;KAMPAR KIRI TENGAH
1406020;XIII KOTO KAMPAR
1406021;KOTO KAMPAR HULU
1406030;KUOK
1406031;SALO
1406040;TAPUNG
1406041;TAPUNG HULU
1406042;TAPUNG HILIR
1406050;BANGKINANG KOTA
1406051;BANGKINANG
1406060;KAMPAR
1406061;KAMPA
1406062;RUMBIO JAYA
1406063;KAMPAR UTARA
1406070;TAMBANG
1406080;SIAK HULU
1406081;PERHENTIAN RAJA
